V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
S	  3.16	  3.36	  2.02	  1.97	  3.16	  3.36	  2.07	  1.54	  2.68	  0.94	  0.95	  0.56	 -0.42
W	  2.35	  2.35	  2.45	  2.45	  2.12	  2.12	  2.12	  2.12	 -0.42	  1.25	  1.25	  1.46	  1.48
E	  0.41	  0.41	 -2.45	 -2.45	  0.00	  0.00	  0.00	  0.00	  0.77	  0.69	  0.69	  0.44	  1.08
NW	  2.57	  2.46	  -Inf	  -Inf	  2.37	  2.52	  1.33	  0.30	  -Inf	  2.38	  2.36	  1.61	  1.90
NE	  1.79	  1.52	  -Inf	  -Inf	  1.51	  1.57	  0.42	  0.39	  1.37	  0.87	  0.87	  1.63	 -0.41
SE	  3.30	  3.12	  2.04	  2.02	  3.40	  3.37	  2.66	  1.78	  2.43	  0.89	  0.89	  0.48	 -0.99
SW	  3.19	  3.18	  1.87	  1.85	  3.18	  3.08	  1.40	  1.70	  -Inf	  1.57	  1.52	  1.14	  0.41
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 62.25	 61.12	 73.50	 73.50	 59.88	 59.88	 59.88	 59.88	 46.25	 46.25	 36.50	 33.00
lon	 -9.00	 -6.00	 20.00	 27.38	 -9.00	 -6.00	  9.25	 45.00	-15.00	 -8.88	 27.25	 45.00
N	  2.30	  2.33	 -2.13	 -1.70	  2.30	  2.33	  1.24	  0.27	  2.50	  2.30	  0.95	  2.18
S	  2.98	  2.73	  2.29	  1.88	  2.98	  2.73	  1.63	  1.48	  2.64	  2.22	  0.53	 -0.17
W	  1.87	  1.73	  2.77	  2.77	  1.32	  1.32	  1.32	  1.34	  0.25	  0.25	  1.40	  1.66
E	  0.87	  0.67	 -2.73	 -2.73	  0.42	  0.42	  0.42	  0.42	  0.62	  0.62	  0.36	  0.81
NW	  2.66	  2.58	  -Inf	  -Inf	  2.80	  2.64	  1.87	  0.57	  0.97	  2.22	  2.26	  2.12
NE	  2.10	  1.99	  -Inf	  -Inf	  2.12	  1.96	  0.93	 -1.23	  1.73	  0.85	  1.62	 -0.39
SE	  2.58	  2.59	  2.24	  1.84	  2.45	  2.52	  2.52	  0.96	  2.18	  2.01	  0.34	 -0.60
SW	  2.15	  3.10	  2.24	  1.81	  2.78	  3.20	  1.31	  1.25	  2.20	  1.77	  1.06	  0.39
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 63.38	 62.25	 64.50	 73.50	 59.88	 59.88	 59.88	 46.38	 46.25	 46.25	 36.38	 33.00
lon	 -9.00	 -6.00	  9.25	 27.38	-20.00	 -4.00	  9.25	 34.50	-10.50	 -8.88	 27.25	 45.00
N	  3.09	  3.17	  1.71	 -1.58	  2.99	  3.07	  1.71	  1.47	  2.96	  3.10	  1.31	  2.34
S	  3.31	  3.86	  2.36	  1.63	  2.56	  3.59	  1.85	  1.18	  2.72	  2.69	  0.59	 -0.38
W	  1.86	  1.59	  2.29	  2.81	  0.60	  0.60	  0.60	  1.09	  0.44	  0.44	  1.41	  1.68
E	  0.26	  0.37	  0.48	 -2.81	  0.65	  0.65	  0.65	  0.57	  0.55	  0.55	  0.35	  1.27
NW	  3.08	  3.33	  2.16	  -Inf	  3.44	  3.29	  2.48	  1.31	  1.15	  2.34	  2.98	  2.34
NE	  2.83	  2.64	  1.43	  -Inf	  2.07	  2.05	  0.90	  1.60	  1.86	  1.39	  1.87	 -0.26
SE	  2.35	  2.52	  2.84	  1.83	  3.03	  2.52	  2.00	  0.98	  2.25	  2.31	  0.44	 -0.81
SW	  2.27	  2.27	  2.84	  1.65	  3.00	  2.46	  1.99	  0.96	  2.28	  2.19	  0.96	  0.26
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 64.38	 63.38	 65.62	 65.62	 73.50	 59.88	 59.88	 59.88	 46.62	 46.25	 46.25	 36.38	 33.00
lon	 -9.00	 -2.25	  9.50	  9.62	 27.38	-16.00	 -8.88	  9.25	 33.00	 -9.00	 -6.00	 27.25	 45.00
N	  3.49	  3.12	  2.02	  2.00	 -1.52	  2.58	  3.49	  2.04	  1.29	  3.49	  3.50	  1.20	  2.02
